id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30366131,Nice private Canal House appartment ★ Jordaan area,4221520,Michiel,,Centrum-West,52.38037759334164,4.889876809238129,Entire home/apt,175,2,1,2019-01-01,1,1,3
30368696,Modern and light Amsterdam-West apartment,31008021,Bette,,Bos en Lommer,52.38177822493891,4.853033990246346,Entire home/apt,160,3,0,,,1,4
30371430,Garden Apartment Westerpark,4844634,Zoe,,Westerpark,52.378276610186404,4.870867144968818,Entire home/apt,65,1,5,2019-01-08,5,1,0
30373159,Beautiful House in Center,25253393,F. Oya,,Centrum-Oost,52.36258194588717,4.884530960767551,Entire home/apt,239,2,1,2018-12-29,1,1,0
30373356,Chester Apartment,11969034,Raul,,Bijlmer-Centrum,52.3260551108546,4.945498273766985,Entire home/apt,104,4,0,,,25,16
30373560,Lovely bright apartment in trendy Oud-West,48466565,Marcel,,De Baarsjes - Oud-West,52.36125289999507,4.860505576372205,Entire home/apt,120,2,5,2018-12-22,4.17,1,0
30374406,Luxurious Private Room in the Center of Amsterdam,228056341,Amar,,Centrum-Oost,52.37134879661811,4.911129155408474,Private room,100,2,6,2019-01-06,5.00,2,14
30386011,AMSTERDAM ROOM WITH ROOF TERRACE,29384550,Timm,,Bos en Lommer,52.37608284309827,4.861476941835456,Private room,25,50,0,,,1,23
30387844,(6) Decent room all-inclusive in Amsterdam!,197286521,Harun,,Geuzenveld - Slotermeer,52.381153293910735,4.813258377212942,Private room,60,1,4,2019-01-04,4,6,223
30387876,Spacious 3-bedroom family friendly apartment,60016316,Jessica & Iron,,Watergraafsmeer,52.35085570205164,4.94055279434653,Entire home/apt,270,1,1,2019-01-01,1,1,3
30389816,Modern and comfortable home next to city center,115026554,Margo,,IJburg - Zeeburgereiland,52.3517381600317,4.994887579685067,Entire home/apt,140,2,0,,,2,0
30391034,"Silent, cozy room just 20 min from Amsterdam CS",126441889,Marcella,,Gaasperdam - Driemond,52.29687058021002,4.965274350515898,Private room,24,2,2,2019-01-06,2,1,13
30391240,Newly renovated full apartment Jordaan (centre),228208949,Jefta,,Westerpark,52.37963286258507,4.876791852833157,Entire home/apt,110,2,0,,,1,85
30391280,Spacious and charming apartment (130m2) in A'dam,97513278,Joana & Frank,,Oud-Oost,52.3587822957605,4.92751986888048,Entire home/apt,233,3,0,,,1,29
30391539,1 Bedroom Apartment for 4 Persons in De Pijp for a minimum stay of 7+ nights!,228196756,Short Stay Group,,De Pijp - Rivierenbuurt,52.35189341604376,4.90201525918613,Entire home/apt,164,1,0,,,5,257
30391718,Standard 2 Bedroom Apartment in De Pijp available for a minimum of 7+ nights!,228196756,Short Stay Group,,De Pijp - Rivierenbuurt,52.353535748325086,4.901723525405423,Entire home/apt,195,1,0,,,5,353
30391844,Serene 2-Bedroom Apartment in Popular De Pijp available for a minimum of 7+ nights!,228196756,Short Stay Group,,De Pijp - Rivierenbuurt,52.35256573235471,4.90080970699734,Entire home/apt,186,1,0,,,5,262
30392132,"Comfortable and cosy 2 bedroom apartments in De Pijp District, available for minimum of 7+ nights!",228196756,Short Stay Group,,De Pijp - Rivierenbuurt,52.35306747676949,4.901433515995633,Entire home/apt,234,1,0,,,5,358
30392257,"Large 2 Bedroom Availbale in De Pijp, available for a minimum of 7+ nights!",228196756,Short Stay Group,,De Pijp - Rivierenbuurt,52.35102309621587,4.901907889340622,Entire home/apt,243,1,0,,,5,358
30392341,Amazing 2 bedroom apt in Amsterdam Center,228215676,Gregor,,De Pijp - Rivierenbuurt,52.35571111292132,4.887212624220194,Entire home/apt,90,2,0,,,1,0
30393375,Fantastic appartement in old-west area,113977564,Willem,,Westerpark,52.38349853462198,4.873449342485003,Entire home/apt,85,2,0,,,31,8
30393444,Modern apartment next to city center,115026554,Margo,,IJburg - Zeeburgereiland,52.351426724133255,4.994962650025289,Entire home/apt,130,2,2,2019-01-02,2,2,0
30393691,1 minute,228225831,Irina,,Centrum-West,52.37623026651689,4.897335515442275,Entire home/apt,120,1,5,2019-01-10,3.57,4,0
30394318,1 Bedroom Apartment in Trendy NDSM District,228217790,Short Stay Group,,Oud-Noord,52.39588893237067,4.905094500188776,Entire home/apt,181,1,0,,,5,295
30394464,Romantic Penthouse Studio with Amazing View,228231791,Sophie & Irma,,Westerpark,52.39610409861715,4.876570070747112,Entire home/apt,95,1,0,,,1,137
30394651,Water View 1 Bedroom Apartment in trendy NDSM,228217790,Short Stay Group,,Oud-Noord,52.395111796949344,4.904846393542774,Entire home/apt,190,1,1,2019-01-08,1,5,327
30394793,2 Bedroom Apartment in trendy NDSM,228217790,Short Stay Group,,Oud-Noord,52.39666281865264,4.905304051375588,Entire home/apt,239,1,0,,,5,357
30394838,Elegant Houseboat in the city center,31612000,Bob,,Centrum-West,52.37697574648934,4.8938643659062615,Entire home/apt,275,2,2,2018-12-16,1.71,1,49
30394912,"New! Exclusive Houseboat ""Bluewater  Amsterdam""",198405490,Suzanne,,Centrum-West,52.38146944492103,4.886299079576928,Entire home/apt,325,3,1,2018-12-23,1,4,59
30394946,Wheelchair-Friendly 2 Bedroom Apartment in trendy NDSM,228217790,Short Stay Group,,Oud-Noord,52.39494116674904,4.9047238372311215,Entire home/apt,239,1,0,,,5,341
30395086,Large 2 Bedroom Apartment in trendy NDSM,228217790,Short Stay Group,,Oud-Noord,52.39557708098984,4.903116886771861,Entire home/apt,265,1,0,,,5,340
30395419,Studio with breathtaking view,45795808,Leonie,,Bos en Lommer,52.37629911950348,4.8440452947365795,Entire home/apt,46,5,0,,,1,0
30399240,Large recently renovated Apartment Pijp,11969034,Raul,,De Pijp - Rivierenbuurt,52.35745337169831,4.894085866396674,Entire home/apt,184,4,1,2018-12-28,1,25,3
30410606,"Beautiful, spacious corner apartment in 'De Pijp'!",35465621,Jelle,,De Pijp - Rivierenbuurt,52.35476681570779,4.903823384287337,Entire home/apt,125,1,3,2018-12-30,3,1,54
30413629,Wonderful apartment in the heart of Amsterdam!,193192624,Christiaan,,De Pijp - Rivierenbuurt,52.351653816228136,4.896628828538498,Entire home/apt,199,3,0,,,1,363
30414719,Central 2 bedroom family home,4155386,Eva,,De Baarsjes - Oud-West,52.366850123350304,4.873582641354239,Entire home/apt,150,2,0,,,1,1
30415573,Wonderful Canal View Apartment,228371585,Riccardo,,Zuid,52.35028600277722,4.853086455655789,Entire home/apt,109,5,0,,,1,13
30416408,Spacious apartment in centre of Amsterdam,88738568,Teuntje,,Centrum-West,52.37719211113791,4.894341989619666,Entire home/apt,150,2,0,,,1,0
30417113,Cozy studio with canal views in the city center.,19817074,Raul,,De Baarsjes - Oud-West,52.36514325719417,4.873636129591167,Entire home/apt,130,2,1,2019-01-06,1,1,43
30418516,PEACEFUL RETREAT IN THE VIBRANT  DE PIJP,76104209,Rated,,De Pijp - Rivierenbuurt,52.35137083579348,4.902066974175047,Entire home/apt,500,7,0,,,81,364
